track_id,track_name,artist_name,album_name,release_date,duration_ms,explicit,popularity,danceability,energy,key,loudness,tempo,genre
e763f9a4-531f-452d-bd57-ae0e3414210c,Act fly,Cody Mendoza,Alone,2017-08-07,,yes,19,0.48,0.59,10,-54.49,141.02,Country
702d654a-f714-4af1-84b6-71e1012a3f5e,Vote rule machine,Brian Gregory,Age,11-15-2023,,false,,0.09,0.51,Z,-28.57,167.61,Jazz
acc468ab-6e8e-4cbc-8b83-52ce37daedbe,Boy left,Jordan Wilkins,Save,2015-06-09,,TRUE,,0.71,0.39,10,-40.78,68.99,R&B
579d0d24-1666-4347-b6ac-1a2940c561ad,Amount property scene,Billy Henson,Professional,07-10-2021,207741.0,False,,0.64,0.89,2,-19.57,149.68,Rock
e72e39eb-b851-4e32-96b1-9fccfa3b537e,Common protect now,Natasha Leach,Officer,20/02/2022,190705.0,no,,0.1,0.11,C#,-56.51,170.86,Hip-Hop
9ff5a201-fbb0-46e9-b59f-2bbce3ae1afa,List improve occur,Michael Jordan,Light,06-09-2019,180688.0,TRUE,29,0.6,0.78,Z,-35.53,195.08,
4c3952e1-f07d-4e05-990c-bbfff26d57ef,You serious,Nicole Stevens,Could,28/01/2025,,false,,0.08,,11,-49.08,182.87,Jazz
f480deb4-4593-433e-a2c2-99acf2ac2dc1,Cold night senior,Joshua Branch,Research,08/06/2022,,False,91,,0.07,0,-29.0,164.73,Hip-Hop
37b3b431-ae45-4833-a4de-42419677f03e,Both create stage,unknown,Morning,09/09/2016,227434.0,yes,,,,Z,-23.61,80.78,
fdb56808-3ecb-4b47-a460-1a94189a1b66,Large all try single,John Hall,Establish,2023-02-08,263708.0,,,0.49,0.03,9,-33.77,70.67,Pop
75b6cd35-de4e-4d39-a07e-6b79c12fb2df,See answer,unknown,Help,2024-07-21,,,,0.97,0.47,Z,-8.36,184.43,Hip-Hop
,Without type expert ten,Katherine Chen,Who,2022-03-05,210709.0,TRUE,70,0.04,0.55,10,-42.93,165.18,R&B
76afe8ef-edb4-4c71-9947-add6ce6e2f87,Paper best this,Edward Fernandez,Over,"February 12, 2021",181783.0,TRUE,0,0.96,,Z,-38.54,198.93,Metal
dc10decb-7351-4cb9-8970-28234e99e3e8,How both without,Dennis Rivas,Human,2017-01-20,289768.0,false,,,,10,-29.15,119.5,Metal
27453c6b-5132-4c73-a5d1-5cf9fe98a672,Administration particularly campaign,Casey Tran,Ask,2022-02-18,254523.0,yes,95,,0.29,6,-19.33,106.41,
656cd496-6d43-407e-8c28-11f98de77d38,Ask lead travel,Jessica Anderson,Tend,2020-02-02,195075.0,false,,,0.35,7,-57.64,75.12,Electronic
0b3bdc5b-b603-4653-ace9-8ded3e1b1ea6,Day claim,Michael Williams,Identify,11-01-2020,236166.0,True,,0.53,0.4,7,-11.39,132.7,
4c701c46-540d-4e2f-8a1c-221e6372e164,Agree prevent us,unknown,Visit,2017-03-06,251751.0,True,,1.0,0.6,0,-57.82,154.1,R&B
0d5b4624-d36e-4c93-a53b-4708d2ba5c1f,State admit huge,Ariel Williams MD,May,2019-06-30,257666.0,no,56,0.78,0.45,2,-54.87,151.67,Jazz
bb40209b-72a3-4875-b23c-6b72ea0afe29,Everybody evidence can,Andrea Miller,Pm,"January 06, 2018",214190.0,no,,0.66,0.59,2,-46.96,68.85,Jazz
54075096-30dc-4ecf-8c2a-24211bcb4453,Surface play project who,Kenneth Alvarez,Social,03/07/2024,204953.0,TRUE,,,0.57,10,-42.56,135.24,Jazz
c9d4f18a-4d25-4607-a16c-8f49e10a66f7,Game campaign,Krystal Peters,Get,"June 01, 2018",,TRUE,1,0.61,0.49,9,-39.71,170.38,Rock
437e7eb3-aabf-4af2-a049-8684b3e2aad7,Stand somebody receive structure,Paul Lee MD,Marriage,16/05/2021,185939.0,,83,0.15,0.55,10,-22.24,148.74,Reggae
537ed8b2-48a0-42fd-b0c6-7a3fc2cae053,Environment school,Michael Ellison,Approach,"August 08, 2023",,yes,,0.52,0.7,1,-52.6,80.99,Hip-Hop
c8458939-051d-4eb2-8605-08859ec11c87,Difference year boy,Dustin Martin,Hear,11-26-2017,192928.0,TRUE,,,0.45,7,-4.79,68.31,Reggae
af06afe1-d7da-43d2-b59f-13b468a52b4d,Offer president,Lisa Sexton,Worker,09/04/2020,,True,,0.47,,7,-56.04,100.17,Electronic
f836259e-39e9-4837-978f-8821322b85ae,Certain chance else,Fernando Hampton,Response,"August 01, 2016",,no,,0.98,0.31,9,-39.37,188.62,Electronic
67267e62-ee77-413d-ab3b-7fcd867016dc,Send try,Suzanne Garza,Standard,2020-11-19,,True,,0.4,0.6,10,-16.76,81.74,Metal
cf8fe9da-24b8-44a4-b1b1-1a4a1056d1cd,Study get key,Thomas Fowler,Price,07-20-2022,,,26,0.87,0.97,4,-0.68,91.9,Reggae
1d71e415-8118-43e7-b770-e4af9a5c081b,Wind various,John Stone,Nor,"September 30, 2017",271491.0,TRUE,,0.75,0.8,Z,-48.66,161.94,R&B
74434b19-3ffc-4cec-a726-57bc8216f091,Seat economy,Rachel White,Whose,"March 30, 2018",271785.0,True,2,0.28,0.32,8,-10.09,167.09,Hip-Hop
3afd6ccd-3887-443c-9e25-ea2b36ae2c43,When avoid magazine,Douglas Rodriguez,Ten,09-04-2019,,True,,0.59,,,-14.92,148.14,Pop
074f6b85-3784-4110-b601-d48d604a66b4,Out answer,unknown,View,"December 12, 2023",,yes,,0.31,0.16,8,-31.49,65.16,Hip-Hop
5a351e9e-5498-404b-a00a-c25af2c2e7fd,Heart white,Katrina Jensen,Whether,"June 27, 2020",212711.0,False,,0.98,0.25,5,-24.68,97.85,Jazz
312cded0-8ddb-453a-8705-6b8e3c089049,Fly all prevent move,Mary Johnson,Add,2023-08-08,,True,,0.13,0.02,1,-11.3,92.93,
371fb7f3-4676-4ca8-8c8a-f700bfac1dc7,Kitchen future story,Debra Hall,Sort,08/12/2023,182642.0,TRUE,,0.79,0.36,3,-49.15,90.35,Reggae
1c50d546-279b-4ad7-bec9-b556cac1d825,Personal heart woman page,Karen Abbott,Draw,24/06/2021,265081.0,no,,0.53,0.46,,-32.31,112.72,Pop
e96f7815-7b5e-4331-9d1d-986e1da0e4fe,,William Collier,Able,"February 03, 2022",,,82,0.06,0.5,4,-6.89,123.76,Pop
37178fb9-7762-4b8f-8d31-299896bce31c,Director,John Myers,Trade,06-11-2023,219812.0,TRUE,,0.35,0.48,2,-59.77,176.51,Electronic
56b0dec8-5a3e-4a65-82bf-15ae73e86d06,Light cut figure,Joseph Williamson,Reality,12/01/2024,,,,0.08,0.34,9,-20.92,142.09,Rock
56760827-b7d7-4a2a-be91-8047b3a0bca2,Order nor hour,Lindsay Braun,Change,09-20-2019,195402.0,False,,0.06,0.64,4,-59.63,60.82,
55605bb1-d295-439e-ab7c-57a021575fd4,Base lot control,Rodney Williams,Away,"February 13, 2019",268189.0,,,0.63,0.38,3,-23.16,129.38,
,Operation in,Christine Lloyd,His,12-27-2017,263350.0,false,,0.81,0.17,0,-37.0,173.71,Jazz
efa2e09b-6c1b-48ef-8ed9-528239ff0bcd,Ever reason,unknown,Store,09/09/2018,,False,,0.45,0.13,5,-34.53,130.5,Country
cce75816-ff87-4e33-ae89-23e3559a9191,Large suddenly nature,Shannon Vazquez,Enter,"January 29, 2025",238115.0,False,,0.76,0.27,8,-55.71,157.82,
7eab88e1-1e69-49c0-9017-888f1497e5ad,Realize prove,William Rhodes,Region,02-26-2020,280523.0,false,79,0.11,0.29,C#,-21.98,159.21,Hip-Hop
6c0c323d-602d-4e41-953c-174784a7da47,Operation red,Nathan Bennett,Whose,"August 14, 2022",,false,,0.08,0.9,11,-57.81,65.18,Metal
7bea33c1-9446-4398-9060-909221dbc202,Woman loss,Emily Perez,Change,2017-01-02,,no,,0.62,0.79,3,-17.93,164.19,Pop
761c2405-c13a-4f93-8c60-1cae6737f698,Provide sure,Lindsey Hernandez,Not,08-16-2021,192913.0,,,0.98,0.32,9,-23.85,181.71,Jazz
c42e0e0a-650c-4bfa-be5c-46c260fd6fc8,War decision win,Ryan Serrano,Industry,12-14-2016,,True,40,0.32,0.54,,-13.9,88.88,
48817ad2-ed73-4928-a6c7-f2c0319e2990,Ball staff remain,James Cochran,Security,19/03/2018,,False,28,0.75,0.3,11,-33.57,84.16,Rock
79d9120d-aa82-4ba2-89cb-4e573be4adf6,Debate,unknown,Commercial,03/05/2016,,False,,0.22,0.49,C#,-23.99,70.3,Electronic
21c19cc6-1641-4574-b6a7-d59ebe3905b0,Hospital,Jennifer Griffin,Protect,"December 02, 2015",191160.0,TRUE,33,0.3,0.82,9,-28.77,177.44,
b12076d0-14db-48a6-8848-45ae9432f0ec,Big,Rachel Donaldson,Catch,2022-01-10,,false,,0.76,0.89,10,-20.23,81.34,Country
27b56f3c-9568-4966-8780-63aaa48dcac0,Writer probably firm,Shannon Young,Improve,26/04/2017,225580.0,no,,0.93,0.25,7,-31.76,162.01,Metal
99f72178-6741-471d-a324-83cba6109d90,Heavy somebody relationship,Mark Alvarez,Tree,2015-11-20,,false,,0.19,0.37,0,-38.94,151.26,Electronic
32652e65-0f01-4b3f-8f3c-6f469a8cc51f,Others between keep up,Joshua Luna,Person,2019-06-17,255382.0,,71,0.79,0.94,1,-50.59,146.55,Electronic
177f003a-a8e1-4caf-a719-e5f7ce16b1e2,Family although something,Alison Rogers,Vote,"March 09, 2025",234498.0,yes,,0.22,,3,-26.98,121.66,
8551ecee-a6eb-49da-96f4-f503ec2873ad,Off reveal,Alan Freeman,This,"December 03, 2018",187377.0,false,,0.68,0.34,4,-53.31,128.78,Jazz
f6c73f52-04ea-4614-9d84-990a6f7bf718,,Mary Hanna,Grow,03/02/2024,208524.0,False,,0.15,0.5,,-35.25,151.91,
2ad47076-fe71-41e2-a413-74c9eeb9d727,Hospital reflect he,Jermaine Perez,Whether,10-14-2021,,yes,24,0.44,0.93,1,-50.64,103.09,Classical
bafd9b84-718c-48c0-a434-501faa8dbcd5,Happen,Ashley Mendoza,Mission,30/12/2021,257193.0,no,81,0.99,0.95,10,-15.47,191.11,Electronic
2cf54ace-1751-47d1-b3be-9dea333bdb60,Federal individual,Danielle Stone,Owner,"April 02, 2025",275394.0,false,,0.1,0.24,11,-21.76,187.6,Electronic
a42b437e-d1c6-45d1-ad07-ccc98652693f,Believe character,Victor Davis,Almost,2020-09-01,,,,0.02,0.99,7,-38.23,142.68,Pop
99093d33-f1ed-4a0f-ba3d-412da65bc457,Room occur,Duane Glenn,Hand,"August 23, 2015",,False,,0.12,0.75,4,-44.06,105.64,Rock
b9f98c85-620b-4394-8fe9-48166d25633f,Pressure yet within,James Schwartz,Run,11-03-2023,,TRUE,,0.43,0.66,11,-58.89,129.45,
f399723e-c12d-42db-b451-85ed4bd40bcf,Without wife majority,Kayla Carr,Reflect,05-05-2017,,no,63,0.39,0.08,,-48.56,142.26,Electronic
4960e5eb-2a8d-4984-a3ae-77be17398158,Me,Richard Mcgee,Government,2018-09-27,,no,25,0.93,,7,-57.57,66.37,Pop
c4132c9d-3070-46e5-b939-016248e55039,Pick production sea,Leslie Macias,Once,05/11/2022,270024.0,no,,0.13,0.08,10,-45.78,147.12,Classical
6cd42045-979c-4009-a93c-67ff6447e1f8,Special,Joseph Reyes,Rule,"July 19, 2019",219390.0,yes,,0.95,0.61,1,-53.74,109.0,Classical
60428d16-5116-4031-86bd-d65cde5e5705,Modern,Jermaine Woods,Must,"August 21, 2024",296365.0,,95,0.54,0.75,8,-1.08,152.16,Jazz
,News room pick,Jennifer Obrien,Claim,29/05/2019,,True,1,,1.0,8,-34.23,119.73,
c9c7b362-01c8-4bff-9421-e52c9d61f293,Happen close,Jeffery Farley,Daughter,12-01-2020,217973.0,no,,0.03,0.2,9,-55.86,97.42,Hip-Hop
62df0f39-abcb-41c1-b640-df7ddf691a4b,Relate social large ask,Donna Jones,Produce,22/05/2023,284713.0,,55,0.44,0.8,8,-41.59,152.72,Pop
78f1cb1f-ddbe-4375-86fd-b6ce4f80baca,Require message,Mrs. Tiffany Fischer DDS,Reason,2021-03-23,223123.0,no,10,0.06,0.37,7,-59.58,83.26,Hip-Hop
b5c5debc-4041-4e6d-bc15-18782b36af8a,All young,Russell Taylor,Writer,2021-06-09,,,92,0.19,0.77,9,-50.16,80.09,
c43eb897-2f20-477e-ab8e-c91f7a55ac43,Company well,Jessica Logan,Data,2017-01-18,,no,84,,0.64,0,-17.04,169.15,Classical
82f26c1e-d167-4232-b6f1-8db3569841de,Car best,unknown,Camera,2022-03-02,287441.0,,,,0.66,10,-13.82,88.6,Reggae
1c6bae5d-c3f7-4680-8080-83771755823c,Hard record benefit,unknown,Choice,19/09/2022,,,,0.84,0.96,6,-6.2,118.27,Electronic
6696c889-ee5e-4720-9f25-fa76cd605561,Left,Steven Hall,They,"May 05, 2024",,False,24,0.05,,6,-23.38,110.89,Metal
63dde833-6ec9-44af-955e-e0146560c09b,Short head,Joseph Abbott,Fast,05-21-2022,246622.0,yes,,,0.27,2,-2.61,178.22,
e0df6892-d85b-4c3d-9796-897f745d92ac,Major page,Kevin Miller,Thing,03-20-2016,,false,25,0.91,0.6,Z,-43.35,114.62,Jazz
dd5dda5a-3a1a-4552-b3d6-e1b83ddf2892,Way ready argue,Julie Reed,West,"May 27, 2016",281252.0,False,,0.85,0.06,Z,-49.63,177.87,Country
17c87b80-31d2-4a1b-8689-b9df6e935b8e,Information check,Michael Chen,Where,"April 22, 2018",252408.0,True,,0.6,0.49,4,-21.29,108.35,Country
6854cc56-29c7-4ab3-9371-d5fc90e50acb,Simple because property,Monica Livingston,Happy,07-30-2021,,False,8,0.65,0.95,7,-0.03,88.64,
139c32c3-924d-4ec6-9a30-65eb607636d4,Security act,Dr. Nancy Reynolds MD,Benefit,"July 30, 2024",,False,32,0.47,0.2,10,-47.38,139.47,Pop
cb9be777-12d4-42e3-8063-fe9fa2e0e89d,Walk pull care,William Frederick,May,2015-07-21,277630.0,no,,0.05,0.69,Z,-35.11,134.05,Reggae
4753fbf4-20dc-4abd-88e8-b1245fbe53e3,Continue clearly pressure,Matthew Koch,Pass,2019-06-02,,TRUE,30,0.78,0.66,3,-10.42,145.3,Classical
